Ticker,Name,Price,30 Day Price Change,Drug,NCT Number,Indication,Stage,Status,Next Catalyst,Catalyst Date,Catalyst,Conference,Historical LOA,Historical POP,Bullish or Bearish,Market Cap,Last Updated,No Of Shares
MTVA,MetaVia Inc.,1.7091,1.96; 2.01; 1.74; 1.71; 1.65; 1.71; 1.6; 1.57; 1.54; 1.56; 1.53; 1.43; 1.49; 1.43; 1.45; 1.48; 1.51; 1.58; 1.56,DA-1726,NCT06252220,NASH and obesity,phase1,Ongoing,Topline Data,2026-12-31,"Phase 1 part 3 completed successfully in the highest target doses of 48 mg and 64 mg, noted July 9, 2026. Phase 1 topline data expected in 4Q 2026. Phase 1 safety, tolerability and pharmacokinetics data shared at ADA in the 48 mg cohort achieved up to 9.1% mean body weight reduction at day 54 without evidence of plateau, noted June 8, 2026.",,100,100,Bull -% / Neutral -% / Bear -%,8826425,2026-07-09 08:55:31,5164370
FBRX,Forte Biosciences Inc.,32.1000,16.82; 17.4; 17.56; 18.05; 17.15; 17.59; 17.85; 18.28; 18.15; 18.54; 18.71; 21.03; 21.32; 21.25; 21.32; 20.92; 20.41; 22.25; 20.58,FB102,NCT06905873,Vitiligo,phase1,Data Released,Topline Data,2026-12-31,"Released positive results from the Phase 1b trial, meeting the primary endpoint with a statistically significant 29.6% mean FVASI improvement at week 24, noted July 09, 2026.",,100,100,Bull -% / Neutral -% / Bear -%,657370026,2026-07-09 08:36:04,20478817
IONS,Ionis Pharmaceuticals Inc.,64.5075,73.32; 73.82; 73.275; 73.96; 73.09; 74.31; 74.12; 75.89; 75.99; 76.52; 78.34; 81.18; 80.69; 79.29; 79.19; 81.8; 83.18; 86.33; 84.46,Wainua (eplontersen) - (CARDIO-TTRansform),NCT04136171,Transthyretin-mediated amyloid cardiomyopathy (ATTR-CM) in adults.,phase3,Ongoing,Conference Presentation,2026-08-31,"Phase 3  trial  did not meet its primary composite efficacy endpoint, noted July 9, 2026. Full results will be showcased at ESC in August 2026",European Society of Cardiology Heart Failure 2026 Congress 09/05/2026 ET - 12/05/2026 ET Conference Calendar,100,100,Bull -% / Neutral -% / Bear -%,10660674331,2026-07-09 08:22:37,165262556
AZN,AstraZeneca PLC,178.9300,178.96; 182.28; 178.75; 177.27; 178.71; 177.89; 174.93; 176.43; 181.02; 183.02; 185.68; 188.41; 190.95; 189.62; 183.86; 195.15; 190.16; 193.12; 189.28,Wainua (eplontersen) - (CARDIO-TTRansform),NCT04136171,Transthyretin-mediated amyloid cardiomyopathy (ATTR-CM) in adults.,phase3,Ongoing,Conference Presentation,2026-08-31,"Phase 3  trial  did not meet its primary composite efficacy endpoint, noted July 9, 2026. Full results will be showcased at ESC in August 2026",European Society of Cardiology Heart Failure 2026 Congress 09/05/2026 ET - 12/05/2026 ET Conference Calendar,100,100,Bull -% / Neutral -% / Bear -%,564043943874,2026-07-09 08:22:37,1550725869
LLY,Eli Lilly and Company,1217.3000,1136.37; 1160.95; 1133; 1129.35; 1122.5; 1112; 1098.57; 1102.08; 1107.08; 1117.26; 1127.69; 1208.12; 1229.93; 1199.43; 1191.74; 1213.91; 1200.06; 1235.56; 1215.83,Kisunla (donanemab) - (TRAILBLAZER-ALZ 2),NCT04437511,Alzheimer’s disease,phase4,Ongoing,Conference Presentation,2026-07-13,"Phase 3 long-term extension data to be shared at AAIC on July 13, 2026. Advisory committee voted 11-0 (11 Yes; 0 No; 0 Abstain) that the evidence presented showed that donanemab is effective for the treatment of AD, noted June 10, 2024. Phase 3 long-term extension study highlight Kisunla continued to demonstrate slowing of decline, with most participants having completed treatment, noted July 30, 2025.",Alzheimer's Association International Conference (AAIC 2026) 12/07/2026 ET - 15/07/2026 ET Conference Calendar,100,100,Bull -% / Neutral -% / Bear -%,1146381813524,2026-07-09 08:19:19,941741406
IPSC,Century Therapeutics Inc.,2.3350,2.12; 2.24; 2.25; 2.3; 2.18; 2.25; 2.29; 2.3; 2.41; 2.29; 2.3; 2.32; 2.41; 2.45; 2.39; 2.43; 2.4; 2.31; 2.43,CNTY-813,,Type 1 Diabetes,phase0,Trial Planned,Conference Presentation,2027-09-28,"CNTY-813 in type 1 diabetes to be presented at EASD 2026, noted July 09, 2026",European Association for the Study of Diabetes (EASD26) 28/09/2026 ET - 02/10/2026 ET Conference Calendar,100,100,Bull -% / Neutral -% / Bear -%,421128479,2026-07-09 08:14:26,180354809
IRD,Opus Genetics Inc.,4.0050,3.89; 3.91; 4.04; 3.915; 3.9; 4.06; 4.07; 4.08; 4.08; 3.71; 3.72; 4; 4.06; 4.11; 4.18; 4.23; 4.07; 4.05; 4.1,OPGx-BEST1 - (BIRD-1),NCT07185256,Bestrophin-1 (BEST1)-related IRD.,phase1,Ongoing,Topline Data,2026-09-18,"Phase 1/2 3-month cohort 1 topline data expected in the second week of September 2026.  The company will also present this data at EURETINA from October 1 - 4, 2026. Phase 1/2 initial from sentinel participant showed OPGx-BEST1 was well tolerated with no ocular inflammation, treatment-related adverse events, or dose-limiting toxicities at three months, noted February 27, 2026.",EURETINA Congress 04/09/2025 ET - 07/09/2025 ET Conference Calendar,100,100,Bull -% / Neutral -% / Bear -%,330676169,2026-07-09 07:14:18,82565835
OSTX,OS Therapies Incorporated,1.6700,1.69; 1.71; 1.7; 1.72; 1.77; 1.72; 1.93; 1.82; 1.82; 1.8; 1.8; 1.88; 2.24; 1.9; 1.81; 1.89; 1.61; 1.59; 1.46,OST-HER2 (AOST-2121),NCT04974008,Resected osteosarcoma,phase4,Type Meeting,Submission,2026-12-31,"Secured a September 30, 2026 submission window, noted July 6, 2026. An invited Type B pre-BLA meeting with the FDA is anticipated in early Fall 2026.",,100,100,Bull -% / Neutral -% / Bear -%,74378637,2026-07-08 13:57:22,44538106
PRME,Prime Medicine Inc.,4.3950,2.71; 2.82; 2.775; 2.9; 2.87; 3.16; 3.23; 3.37; 3.24; 3.12; 3.18; 3.43; 3.72; 3.69; 3.89; 3.87; 3.99; 3.99; 4.62,PM647,,Alpha-1 Antitrypsin deficiency (AATD),phase0,Trial Planned,Initial Data,2027-12-31,IND/CTA filing planned 3Q 2026. Phase 1 data expected in 2027.,,100,100,Bull -% / Neutral -% / Bear -%,793813697,2026-07-08 08:23:19,180617451
ARQT,Arcutis Biotherapeutics Inc.,28.5500,23.23; 24.59; 24.38; 25.58; 25.67; 26.22; 26.21; 26.66; 26.27; 27.37; 26.69; 27; 26.76; 26.22; 25.84; 25.81; 26.07; 27.67; 28.5,ZORYVE (roflumilast) Cream 0.05% - (INTEGUMENT-INFANT),NCT04804605,"Mild to Moderate Atopic Dermatitis, including infants aged 3 to 24 months.",phase5,Ongoing,Regulatory Decision,2027-02-23,"PDUFA date on February 23, 2027.",,100,100,Bull -% / Neutral -% / Bear -%,3571130328,2026-07-08 08:10:00,125083374
