Ticker,Name,Price,30 Day Price Change,Drug,NCT Number,Indication,Stage,Status,Next Catalyst,Catalyst Date,Catalyst,Conference,Historical LOA,Historical POP,Bullish or Bearish,Market Cap,Last Updated,No Of Shares
AZN,AstraZeneca PLC,185.6500,186.68; 185.2; 187.37; 184.74; 183.46; 181.24; 184.92; 182.52; 182.85; 181.86; 184.54; 187.72; 184.96; 181.58; 183.92; 184.64; 187.46; 189.75; 187.03; 187.19; 185.65,SLN312 (AZD1705),NCT06238466,Dyslipidemia,phase1,Ongoing,Conference Presentation,2026-05-26,"Phase 1 to be presented at EAS on May 26, 2026.",European Hematology Association Congress (EHA26) 11/06/2026 ET - 14/06/2026 ET Conference Calendar,10.76,60.82,Bull 100% / Neutral 0% / Bear 0%,582538273682,2026-05-07 14:08:31,3101451738
SLN,Silence Therapeutics Plc,6.8000,7.7; 7.11; 7.31; 7.13; 7.29; 7.14; 7.36; 6.95; 6.97; 7.17; 6.79; 6.98; 7.13; 6.1; 6.23; 5.77; 6.24; 6.49; 6.2; 6.64; 6.8,SLN312 (AZD1705),NCT06238466,Dyslipidemia,phase1,Ongoing,Conference Presentation,2026-05-26,"Phase 1 to be presented at EAS on May 26, 2026.",European Hematology Association Congress (EHA26) 11/06/2026 ET - 14/06/2026 ET Conference Calendar,10.76,60.82,Bull 100% / Neutral 0% / Bear 0%,318240000,2026-05-07 14:08:31,46800000
LPCN,Lipocine Inc.,2.2800,2.31; 2.29; 2.33; 2.33; 2.29; 2.33; 2.43; 2.39; 2.37; 2.32; 2.33; 2.32; 2.33; 2.26; 2.21; 2.2; 2.24; 2.22; 2.26; 2.26; 2.28,LPCN 1154 (oral brexanolone),NCT06979544,Postpartum Depression,phase3,Data Released,Conference Presentation,2026-05-26,"Phase 3 data to be shared at ASCP opn May 26, 2026. Phase 3 trial did not show a statistically significant reduction from baseline in HAM-D17 total score compared to placebo at hour 60, noted April 2, 2026.",American Society of Clinical Psychopharmacology Annual Meeting (ASCP26) 26/05/2026 ET - 29/05/2026 ET Conference Calendar,52.7,60.49,Bull 100% / Neutral 0% / Bear 0%,18796897,2026-05-19 08:21:52,8244253
ASMB,Assembly Biosciences Inc.,27.4000,27; 26.33; 26.95; 27.37; 27.82; 29.55; 31.36; 30.93; 29.74; 30.41; 30.82; 31.72; 30.3; 28.65; 27.42; 26.52; 26.26; 26.5; 28.34; 28.75; 27.4,ABI-6250,NCT06740474,Chronic hepatitis D virus (HDV),phase1,Data Released,Conference Presentation,2026-05-27,"Phase 1a data to be presented at EASL on May 27, 2026. Phase 2 trial planned for 4Q 2026. Phase 1a first patient dosed February 26, 2025. Phase 1a data demonstrated a four-day half-life for ABI-6250, supporting target daily oral dosing profile and dose-dependent elevations in biomarker of target engagement, noted  August 6, 2025.",European Association for the Study of the Liver (EASL26) 27/05/2026 ET - 30/05/2026 ET Conference Calendar,15.59,61.82,Bull -% / Neutral -% / Bear -%,435457459,2026-05-13 04:15:51,15892608
CRBP,Corbus Pharmaceuticals Holdings Inc.,7.8200,9.82; 9.82; 9.88; 10.3; 10.52; 10.67; 10.92; 10.87; 10.96; 11.04; 11.43; 12.15; 11.98; 11.03; 9.95; 9.15; 9.73; 11.51; 11.35; 7.91; 7.82,CRB-701,NCT06265727,Oropharyngeal squamous cell carcinoma (OPSCC),phase1,Data Released,Conference Presentation,2026-05-27,"Phase 1/2 updated monotherapy data expected at KOL on May 27, 2026, and ASCO on June 1,  2026. Phase 1/2 data demonstrating robust anti-tumor activity in second-line (2L) HPV-driven solid tumors. At the 3.6 mg/kg dose, CRB-701 achieved a confirmed objective response rate (cORR) of 42.9% in 2L oropharyngeal squamous cell carcinoma (OPSCC) and 34.4% in 2L cervical cancer, with median durations of response reaching 6.3 months and 8.0 months, respectively, noted May 26, 2026. Registrational study of CRB-701 in 2L OPSCC (TEMPO-1) on track to initiate in summer 2026.",American Society of Clinical Oncology Conference (ASCO26) 29/05/2026 ET - 02/06/2026 ET Conference Calendar,7.66,60.87,Bull -% / Neutral -% / Bear -%,144887357,2026-05-26 07:20:05,18527795
PEPG,PepGen Inc.,1.5200,1.58; 1.55; 1.64; 1.75; 1.8; 1.93; 1.845; 1.79; 1.76; 1.7; 1.68; 1.78; 1.65; 1.55; 1.47; 1.38; 1.44; 1.54; 1.51; 1.53; 1.52,PGN-EDODM2 - (FREEDOM-DM1/2),NCT06204809,Myotonic dystrophy type 1 (DM1),phase1,Clinical Hold,Conference Presentation,2026-05-27,"Phase 1/2 data to be presented at IDMC on May  27, 2026. The company remains on track to report data from the 10 mg/kg cohort in 2H 2026",,11.49,65.07,Bull 0% / Neutral 100% / Bear 0%,105137207,2026-05-21 07:11:23,69169215
LLY,Eli Lilly and Company,1082.9200,872.4979685094124; 849.7471347538867; 932.993823076541; 961.6744485173597; 966.2665430884617; 987.1705562012617; 985.3536840013908; 973.2844615308202; 946.8200208612726; 965.3281585456714; 988.1688376297622; 1014.0043609993544; 1004.9699140714251; 1004.92; 988.09; 1021.41; 1018.87; 1041.65; 1065; 1064.74; 1082.92,LY4052031 - (NEXUS-01),,Metastatic urothelial carcinoma,phase1,Ongoing,Conference Presentation,2026-05-29,"Phase 1 data to be presented at ASCO on May 29, 2026.",American Society of Clinical Oncology Conference (ASCO26) 29/05/2026 ET - 02/06/2026 ET Conference Calendar,9.87,60.87,Bull -% / Neutral -% / Bear -%,1019830603386,2026-05-22 14:33:46,941741406
NXTC,NextCure Inc.,6.0700,9.25; 8.94; 9.21; 9.36; 8.92; 9.32; 10.72; 10.18; 9.76; 9.78; 9.78; 9.8; 10.25; 9.74; 9.25; 9.13; 9.645; 10.2; 7.83; 7.02; 6.07,SIM0505,NCT06792552,Solid tumors,phase1,Ongoing,Conference Presentation,2026-05-29,"FDA granted Fast Track Designation, noted April 7, 2026. Phase 1 first patient dosing commenced, noted October 16, 2025. Phase 1 OLE study to be presented at ASCO 2026 on May 29 - June 2, 2026. Phase 1 dose optimization study planned 2Q 2026.",American Society of Clinical Oncology Conference (ASCO26) 29/05/2026 ET - 02/06/2026 ET Conference Calendar,9.87,60.87,Bull -% / Neutral -% / Bear -%,21925423,2026-05-08 07:38:35,3612096
MOLN,Molecular Partners AG,4.0400,4.28; 4.4499; 4.23; 4.24; 4.406611; 4.25; 4.2854; 4.1; 4.1; 4.1301; 4.0401; 4; 3.84; 3.84; 3.8; 3.74; 3.74; 3.8; 4.18; 4.05; 4.04,MP0712,NCT07278479,Small-cell lung cancer (SCLC) and other DLL3+ neuroendocrine tumors,phase1,Ongoing,Conference Presentation,2026-05-29,"Phase 1 trial data due on May 29 2026. Preclinical data  presented at AACR reported an attractive biodistribution profile, noted April 20, 2026.",,9.87,60.87,Bull -% / Neutral -% / Bear -%,163066904,2026-05-04 11:02:47,40363095
CMPX,Compass Therapeutics Inc.,2.2700,1.84; 1.67; 1.77; 1.96; 1.94; 1.95; 1.87; 1.81; 1.83; 1.83; 1.87; 1.97; 1.98; 1.86; 1.83; 1.81; 1.89; 1.93; 2.07; 2.2; 2.27,CTX-8371,,Solid Tumors,phase1,Data Released,Conference Presentation,2026-05-29,"Phase 1 preliminary data due at ASCO on May 29-June 2, 2026. Phase 1 data from ASCO abstract reported that the overall response rate (ORR) was 33% , noted May 21, 2026. Additional data due in 4Q 2026.",American Society of Clinical Oncology Conference (ASCO26) 29/05/2026 ET - 02/06/2026 ET Conference Calendar,9.87,60.87,Bull 100% / Neutral 0% / Bear 0%,408799567,2026-05-22 07:40:53,180087915
