Ticker,Name,Price,30 Day Price Change,Drug,NCT Number,Indication,Stage,Status,Next Catalyst,Catalyst Date,Catalyst,Conference,Historical LOA,Historical POP,Bullish or Bearish,Market Cap,Last Updated,No Of Shares
LLY,Eli Lilly and Company,1079.0400,966.2665430884617; 987.1705562012617; 985.3536840013908; 973.2844615308202; 946.8200208612726; 965.3281585456714; 988.1688376297622; 1014.0043609993544; 1004.9699140714251; 1004.92; 988.09; 1021.41; 1018.87; 1041.65; 1065; 1064.74; 1082.92; 1126.8; 1105,LY4052031 - (NEXUS-01),,Metastatic urothelial carcinoma,phase1,Ongoing,Conference Presentation,2026-05-29,"Phase 1 data to be presented at ASCO on May 29, 2026.",American Society of Clinical Oncology Conference (ASCO26) 29/05/2026 ET - 02/06/2026 ET Conference Calendar,9.87,60.87,Bull -% / Neutral -% / Bear -%,1016176646730,2026-05-22 14:33:46,941741406
NXTC,NextCure Inc.,4.5100,8.92; 9.32; 10.72; 10.18; 9.76; 9.78; 9.78; 9.8; 10.25; 9.74; 9.25; 9.13; 9.645; 10.2; 7.83; 7.02; 6.07; 6.4; 6.2,SIM0505,NCT06792552,Solid tumors,phase1,Ongoing,Conference Presentation,2026-05-29,"FDA granted Fast Track Designation, noted April 7, 2026. Phase 1 first patient dosing commenced, noted October 16, 2025. Phase 1 OLE study to be presented at ASCO 2026 on May 29 - June 2, 2026. Phase 1 dose optimization study planned 2Q 2026.",American Society of Clinical Oncology Conference (ASCO26) 29/05/2026 ET - 02/06/2026 ET Conference Calendar,9.87,60.87,Bull -% / Neutral -% / Bear -%,16290553,2026-05-08 07:38:35,3612096
CMPX,Compass Therapeutics Inc.,2.2100,1.94; 1.95; 1.87; 1.81; 1.83; 1.83; 1.87; 1.97; 1.98; 1.86; 1.83; 1.81; 1.89; 1.93; 2.07; 2.2; 2.27; 2.41; 2.38,CTX-8371,,Solid Tumors,phase1,Data Released,Conference Presentation,2026-05-29,"Phase 1 preliminary data due at ASCO on May 29-June 2, 2026. Phase 1 data from ASCO abstract reported that the overall response rate (ORR) was 33% , noted May 21, 2026. Additional data due in 4Q 2026.",American Society of Clinical Oncology Conference (ASCO26) 29/05/2026 ET - 02/06/2026 ET Conference Calendar,9.87,60.87,Bull 100% / Neutral 0% / Bear 0%,397994292,2026-05-22 07:40:53,180087915
PFE,Pfizer Inc.,25.6550,25.8668709306779; 26.01440061279203; 26.09308310991957; 26.04390654921486; 25.68; 25.81; 25.87; 25.96; 25.75; 25.33; 25.33; 25.66; 25.79; 25.95; 25.9; 25.85; 26.21; 26.14; 26.18,Elranatamab - (ERASMM),,High-risk smoldering myeloma,phase2,Ongoing,Conference Presentation,2026-05-29,"Phase 2 data to be presented at ASCO on May 29, 2026.",American Society of Clinical Oncology Conference (ASCO26) 29/05/2026 ET - 02/06/2026 ET Conference Calendar,16.21,33.71,Bull -% / Neutral -% / Bear -%,146219240156,2026-04-22 07:38:45,5699444169
VIR,Vir Biotechnology Inc.,9.2500,10.18; 10.01; 10.29; 9.27; 9.12; 9.29; 9.4; 9.33; 9.09; 8.79; 8.77; 8.53; 8.88; 9.03; 9.19; 9.38; 9.1; 9.55; 9.54,elebsiran (VIR-2218) and tobevibart (VIR-3434) - (SOLSTICE),,Chronic Hepatitis D Virus Infection,phase2,Ongoing,Conference Presentation,2026-05-29,"Phase 2 data to be presented at EASL on May 29, 2026.",European Association for the Study of the Liver (EASL26) 27/05/2026 ET - 30/05/2026 ET Conference Calendar,29.37,45.96,Bull -% / Neutral -% / Bear -%,1560030760,2026-05-18 17:15:29,168651974
BMY,Bristol-Myers Squibb Company,54.7350,57.38; 56.95; 56.59; 56.25; 56.16; 55.67; 56.45; 56.39; 56.77; 57; 57.31; 58.31; 58.54; 59.55; 59.46; 58.03; 57.52; 56.91; 57.18,"Mezigdomide, carfilzomib, and dexamethasone vs. carfilzomib and dexamethasone - (SUCCESSOR-2)",,Relapsed/refractory multiple myeloma (RRMM),phase3,Data Released,Conference Presentation,2026-05-29,"Phase 3 LBA presentation due on May 29, 2026. Phase 3 data reported that treatment demonstrated statistically significant and clinically meaningful improvement in progression-free survival (PFS) versus carfilzomib and dexamethasone alone (Kd), noted March 9, 2026.",American Society of Clinical Oncology Conference (ASCO26) 29/05/2026 ET - 02/06/2026 ET Conference Calendar,48.08,54.19,Bull -% / Neutral -% / Bear -%,111772769705,2026-05-22 14:06:48,2042071247
NUVL,Nuvalent Inc.,100.2000,102.62; 101.47; 104.26; 102.4; 105.28; 104.55; 102.54; 105.22; 104.41; 102.3; 99.9; 101; 102.32; 101.24; 102.12; 104.95; 107.38; 109.27; 110.39,Neladalkib (NVL-655) - (ALKove-1),NCT05384626,ALK non-small cell lung cancer (NSCLC),phase3,Data Released,Conference Presentation,2026-05-29,"ASCO presentation from pivotal data to be shared on May 29, 2026. PDUFA PR target action date due on November 27, 2026.",American Society of Clinical Oncology Conference (ASCO26) 29/05/2026 ET - 02/06/2026 ET Conference Calendar,48.08,54.19,Bull 50% / Neutral 50% / Bear 0%,7915591083,2026-05-27 07:06:14,78997915
GNPX,Genprex Inc.,0.7553,0.939; 0.8852; 0.8903; 0.865; 0.87; 0.8453; 0.83; 0.8511; 0.8613; 0.8303; 0.805; 0.7879999999999999; 0.7899; 0.815; 0.8211; 0.772; 0.7763; 0.7947; 0.7795,GPX-002,,Diabetes,phase0,Data Released,Conference Presentation,2026-05-29,"Preclinical data to be shared at ASCO on May 29 – June 2, 2026. Preclinical data show in vivo proof-of-concept in both non-human primate and mouse models of Type 2 diabetes, noted January 6, 2026.  Pre-Clinical data from ASGCT reported that treatment of HFD mice with RIP-PM-GFP, which selectively targets β-cells, reversed hyperglycemia and improved ex-vivo GSIS noted May 14 2026.",American Society of Clinical Oncology Conference (ASCO26) 29/05/2026 ET - 02/06/2026 ET Conference Calendar,11.41,85,Bull -% / Neutral -% / Bear -%,7995909,2026-05-14 08:54:17,10586402
CTXR,Citius Pharmaceuticals Inc.,0.6669,0.7102; 0.687; 0.6664; 0.6541; 0.64; 0.6386; 0.613; 0.65; 0.72; 0.7004; 0.527; 0.5542; 0.58; 0.6731; 0.7011; 0.6970000000000001; 0.69; 0.6529; 0.6549,LYMPHIR (denileukin diftitox‑cxdl) in combination with pembrolizumab (KEYTRUDA),NCT05200559,Relapsed or Refractory Gynecologic Cancers,phase1,Data Released,Conference Presentation,2026-05-30,"Phase 1 data to be shared at ASCO on May 30, 2026. Phase 1 data reported a 24 % objective response rate (ORR) and a 48 % clinical benefit rate, noted March 10, 2026.",American Society of Clinical Oncology Conference (ASCO26) 29/05/2026 ET - 02/06/2026 ET Conference Calendar,9.87,60.87,Bull -% / Neutral -% / Bear -%,18308119,2026-05-26 08:43:10,27452570
WHWK,Whitehawk Therapeutics Inc.,4.4700,4.16; 4.21; 4.15; 3.94; 3.97; 3.8; 3.92; 4.93; 5.1; 4.7; 4.25; 4.07; 4.22; 4.3; 4.49; 4.77; 4.78; 4.78; 4.72,HWK-007,NCT07444814,Various cancers,phase1,IND Clearance,Conference Presentation,2026-05-30,"Phase 1 data to be shared at ASCO on May 30, 2026. Preclinical data shared at AACR reported tumor regressions at doses as low as 2 mg/kg in small cell lung cancer models, noted April 20, 2026. IND cleared January 8, 2026.",American Society of Clinical Oncology Conference (ASCO26) 29/05/2026 ET - 02/06/2026 ET Conference Calendar,9.87,60.87,Bull -% / Neutral -% / Bear -%,240411481,2026-05-22 08:28:04,53783329
OLMA,Olema Pharmaceuticals Inc.,12.4900,14.63; 14.64; 15.19; 15.13; 14.9; 14.86; 13.97; 13.58; 13.82; 13.59; 12.9; 13.1; 13.96; 14.06; 13.68; 13.55; 12.91; 12.76; 13.19,OP-3136,NCT06784193,Breast Cancer,phase1,Data Released,Conference Presentation,2026-05-30,"Phase 1 data from ASCO abstract reported that OP-3136 demonstrated tumor shrinkage in 13 of 19 response-evaluable patients, including 3 partial responses, noted May 22, 2026.",American Society of Clinical Oncology Conference (ASCO26) 29/05/2026 ET - 02/06/2026 ET Conference Calendar,9.87,60.87,Bull -% / Neutral -% / Bear -%,1090969913,2026-05-22 07:40:18,87347471
PFE,Pfizer Inc.,25.6550,25.8668709306779; 26.01440061279203; 26.09308310991957; 26.04390654921486; 25.68; 25.81; 25.87; 25.96; 25.75; 25.33; 25.33; 25.66; 25.79; 25.95; 25.9; 25.85; 26.21; 26.14; 26.18,PF-07799933,,Advanced BRAF-mutant melanoma,phase1,Ongoing,Conference Presentation,2026-05-30,"Phase 1b data to be presented at ASCO on May 30, 2026.",American Society of Clinical Oncology Conference (ASCO26) 29/05/2026 ET - 02/06/2026 ET Conference Calendar,9.87,60.87,Bull -% / Neutral -% / Bear -%,146219240156,2026-04-22 07:36:22,5699444169
