ticker,mktcap_usd,ipo_or_founding,is_live,note
007570,170000000,1946-01-01,1,web_check 2026-06-29 (actual listing or founding-year proxy)
009290,247000000,1963-01-01,1,web_check 2026-06-29 (actual listing or founding-year proxy)
067080,168000000,1984-01-01,1,web_check 2026-06-29 (actual listing or founding-year proxy)
185750,667000000,2013-11-01,1,web_check 2026-06-29 (actual listing or founding-year proxy)
3407,14900000000,1922-05-01,1,web_check 2026-06-29 (actual listing or founding-year proxy)
4502,47480000000,1781-01-01,1,web_check 2026-06-29 (actual listing or founding-year proxy)
4503,28000000000,2005-04-01,1,web_check 2026-06-29 (actual listing or founding-year proxy)
4506,5600000000,1897-05-01,1,web_check 2026-06-29 (actual listing or founding-year proxy)
4507,16200000000,1878-03-01,1,web_check 2026-06-29 (actual listing or founding-year proxy)
4512,68000000,1929-01-01,1,web_check 2026-06-29 (actual listing or founding-year proxy)
4523,8600000000,1941-01-01,1,web_check 2026-06-29 (actual listing or founding-year proxy)
4524,56000000,1893-02-01,1,web_check 2026-06-29 (actual listing or founding-year proxy)
4527,3350000000,1899-02-01,1,web_check 2026-06-29 (actual listing or founding-year proxy)
4528,7800000000,1717-01-01,1,web_check 2026-06-29 (actual listing or founding-year proxy)
4554,368000000,1959-04-01,1,web_check 2026-06-29 (actual listing or founding-year proxy)
4563,138000000,2002-09-25,1,web_check 2026-06-29 (actual listing or founding-year proxy)
4569,518000000,1923-01-01,1,web_check 2026-06-29 (actual listing or founding-year proxy)
4574,97000000,1946-01-01,1,web_check 2026-06-29 (actual listing or founding-year proxy)
4587,1100000000,2013-06-11,1,web_check 2026-06-29 (actual listing or founding-year proxy)
4886,473000000,2021-04-01,1,web_check 2026-06-29 (actual listing or founding-year proxy)
4530,,,0,Hisamitsu — MBO/privatization 2026 (Taiyo Kosan)
4555,,,0,Sawai — reorganized into Sawai Group Holdings 4887 (2021)
